time,status,waterLevel,waterSpeed
1:27:58 PM,AMAN,0,0
1:27:59 PM,AMAN,0,0
1:28:01 PM,AMAN,0,0
1:28:02 PM,AMAN,0,0
1:28:03 PM,AMAN,0,0
1:28:05 PM,AMAN,0,0
1:28:06 PM,AMAN,0,0
1:28:07 PM,AMAN,0,0
1:28:09 PM,AMAN,0,0
1:28:10 PM,AMAN,0,0
1:28:11 PM,AMAN,0,0
1:28:14 PM,AMAN,0,0
1:28:15 PM,AMAN,0,0
1:28:17 PM,AMAN,0,0
1:28:19 PM,AMAN,0,0
1:28:20 PM,AMAN,0,0
1:28:21 PM,AMAN,0,0
1:28:22 PM,AMAN,0,0
1:28:23 PM,AMAN,0,0
1:28:25 PM,AMAN,0,0
1:28:26 PM,AMAN,0,0
1:28:27 PM,AMAN,0,0
1:28:28 PM,AMAN,0,0
1:28:29 PM,AMAN,0,0
1:28:30 PM,AMAN,0,0
1:28:32 PM,AMAN,0,0
1:28:33 PM,AMAN,0,0
1:28:34 PM,AMAN,0,0
1:28:35 PM,AMAN,0,0
1:28:39 PM,AMAN,0,0
1:28:40 PM,AMAN,0,0
1:28:41 PM,AMAN,0,0
1:28:43 PM,AMAN,0,0
1:28:44 PM,AMAN,0,0
1:28:45 PM,AMAN,0,0
1:28:46 PM,AMAN,0,0
1:28:47 PM,AMAN,0,0
1:28:49 PM,AMAN,0,0
1:28:50 PM,AMAN,0,0
1:28:51 PM,AMAN,0,0
1:28:52 PM,AMAN,0,0
1:28:54 PM,AMAN,0,0
1:28:55 PM,AMAN,0,0
1:28:56 PM,AMAN,0,0
1:28:57 PM,AMAN,0,0
1:28:59 PM,AMAN,0,0
1:29:03 PM,AMAN,0,0
1:29:04 PM,AMAN,0,0
1:29:05 PM,AMAN,0,0
1:29:07 PM,AMAN,0,0
1:29:08 PM,AMAN,0,0
1:29:09 PM,AMAN,0,0
1:29:10 PM,AMAN,0,0
1:29:11 PM,AMAN,0,0
1:29:13 PM,AMAN,0,0
1:29:14 PM,AMAN,0,0
1:29:15 PM,AMAN,0,0
1:29:16 PM,AMAN,0,0
1:29:18 PM,AMAN,0,0
1:29:19 PM,AMAN,0,0
1:29:21 PM,AMAN,0,0
1:29:22 PM,AMAN,0,0
1:29:23 PM,AMAN,0,0
1:29:24 PM,AMAN,0,0
1:29:25 PM,AMAN,0,0
1:29:29 PM,AMAN,0,0
1:29:30 PM,AMAN,0,0
1:29:31 PM,AMAN,0,0
1:29:33 PM,AMAN,0,0
1:29:34 PM,AMAN,0,0
1:29:35 PM,AMAN,0,0
1:29:36 PM,AMAN,0,0
1:29:37 PM,AMAN,0,0
1:29:39 PM,AMAN,0,0
1:29:40 PM,AMAN,0,0
1:29:41 PM,AMAN,0,0
1:29:42 PM,AMAN,0,0
1:29:43 PM,AMAN,0,0
1:29:45 PM,AMAN,0,0
1:29:46 PM,AMAN,0,0
1:29:48 PM,AMAN,0,0
1:29:49 PM,AMAN,0,0
1:29:50 PM,AMAN,0,0
1:29:51 PM,AMAN,0,0
1:29:52 PM,AMAN,0,0
1:29:53 PM,AMAN,0,0
1:29:55 PM,AMAN,0,0
1:29:56 PM,AMAN,0,0
1:29:58 PM,AMAN,0,0
1:29:59 PM,AMAN,0,0
1:30:00 PM,AMAN,0,0
1:30:02 PM,AMAN,0,0
1:30:03 PM,AMAN,0,0
1:30:04 PM,AMAN,0,0
1:30:05 PM,AMAN,0,0
1:30:06 PM,AMAN,0,0
1:30:08 PM,AMAN,0,0
1:30:09 PM,AMAN,0,0
1:30:10 PM,AMAN,0,0
1:30:12 PM,AMAN,0,0
1:30:13 PM,AMAN,0,0
1:30:14 PM,AMAN,0,0
1:30:15 PM,AMAN,0,0
1:30:17 PM,AMAN,0,0
1:30:19 PM,AMAN,0,0
1:30:20 PM,AMAN,0,0
1:30:22 PM,AMAN,0,0
1:30:23 PM,AMAN,0,0
1:30:24 PM,AMAN,0,0
1:30:25 PM,AMAN,0,0
1:30:26 PM,AMAN,0,0
1:30:28 PM,AMAN,0,0
1:30:50 PM,AMAN,0,0
1:30:52 PM,AMAN,0,0
1:30:53 PM,AMAN,0,0
1:30:54 PM,AMAN,0,0
1:30:55 PM,AMAN,0,0
1:30:57 PM,AMAN,0,0
1:30:58 PM,AMAN,0,0
1:30:59 PM,AMAN,0,0
1:31:00 PM,AMAN,0,0
1:31:01 PM,AMAN,0,0
1:31:03 PM,AMAN,0,0
1:31:04 PM,AMAN,0,0
1:31:05 PM,AMAN,0,0
1:31:06 PM,AMAN,0,0
